Date,Source URL,Country,Source label,Hospitalizations with moderate to severe symptoms,New hospital admissions (daily)
2020-08-27,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),46,NA
2020-08-28,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),58,NA
2020-08-29,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),64,NA
2020-08-30,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),70,NA
2020-08-31,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),79,NA
2020-09-01,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),104,NA
2020-09-02,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),123,NA
2020-09-03,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),154,NA
2020-09-04,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),157,NA
2020-09-05,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),159,NA
2020-09-06,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),163,NA
2020-09-07,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),162,NA
2020-09-08,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),150,NA
2020-09-09,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),154,NA
2020-09-10,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),169,NA
2020-09-11,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),175,NA
2020-09-12,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),164,NA
2020-09-13,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),157,NA
2020-09-14,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),157,NA
2020-09-15,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),158,NA
2020-09-16,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),160,NA
2020-09-17,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),160,NA
2020-09-18,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),150,NA
2020-09-19,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),152,NA
2020-09-20,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),146,NA
2020-09-21,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),141,NA
2020-09-22,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),146,NA
2020-09-23,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),139,NA
2020-09-24,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),126,NA
2020-09-25,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),128,NA
2020-09-26,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),122,NA
2020-09-27,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),124,NA
2020-09-28,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),120,NA
2020-09-29,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),115,NA
2020-09-30,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),109,NA
2020-10-01,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),107,NA
2020-10-02,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),107,NA
2020-10-03,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),104,NA
2020-10-04,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),105,NA
2020-10-05,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),107,NA
2020-10-06,https://sites.google.com/view/snuaric/data-service/covid-19/covid-19-data?authuser=0,South Korea,SNU ARIC (from Korea DCA),105,NA
